web-scraper-order,web-scraper-start-url,rooms_area_price_raw,price_raw,address_raw,description_raw,text_raw
"1758541828-11","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3 Zimmer, CHF 1’500.–","CHF 1’500.–","Freiestrasse 37, 8406 Winterthur","3- Zimmerwohnung in Winterthur","Neu 1 / 7 3 Zimmer, CHF 1’500.– Freiestrasse 37, 8406 Winterthur3- Zimmerwohnung in Winterthur Per 1. Dezember 2025 vermieten wir diese charmante 3- Zimmerwohnung in einem ruhigen Quartier in Töss.Die kleine Liegenschaft mit 3 Mietparteien befindet sich in einer Querstrasse in Töss. Zu Fuss ist man schnell bei der Bushaltestelle Gaswerk oder in ca. 25 Minuten am Bahnhof Winterthur. Details zur Wohnung:- Wohn- und Schlafbereich mit Laminatboden- Küche und WC mit Plattenboden- die Dusche befindet sich in der Küche - der Gasherd / Backofen wird noch ersetzt durch einen Elektroherd / Backofen- kleiner Sitzplatz zur Mitbenutzung - eigenes Kellerabteil im UG der LiegenschaftZu dieser Wohnung können wir keine Parkplätze vermieten. Haben wir Ihr Interesse geweckt? Kontaktieren Sie uns gerne für einen Besichtigungstermin.  Wegzeit Neu3 min.Station: Winterthur Töss"
"1758541828-12","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3 Zimmer, 63m², CHF 1’908.–","CHF 1’908.–","Tellstrasse 16a, 8400 Winterthur","3.0 Zimmerwohnung in Winterthur","1 / 8 3 Zimmer, 63m², CHF 1’908.– Tellstrasse 16a, 8400 Winterthur3.0 Zimmerwohnung in Winterthur Per 16. September 2025 vermieten wir diese schöne und zentrale 3-Zimmerwohnung in einer kleinen Hausgemeinschaft. Die Liegenschaft liegt in einer ruhigen Quartierstrasse nahe des Bahnhofs Winterthur (5 Minuten Fussweg). Trotz der nahen Lage zum Bahnhof Winterthur ist man in wenigen Schritten im Naherholungsgebiet und im Wald Brühlberg. Die Wohnung selbst zeichnet sich durch folgende Details aus:- zeitloser, weisser Plattenboden in der gesamten Wohnung- Dusche/WC- moderne, offene Küche- grosszügiger Eingangsbereich Die Waschmaschine zum mitbenützen befindet sich im Untergeschoss.Leider stehen keine Parkplätze zur Verfügung. Es hat jedoch viele blaue Zonen Parkplätze in der Umgebung. Haben wir Ihr Interesse geweckt? Wir freuen uns auf Ihre Kontaktaufnahme bei Fragen.  Wegzeit Neu9 min.Station: Winterthur"
"1758541828-13","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","5.5 Zimmer, 135m², CHF 3’295.–","CHF 3’295.–","Wartstrasse 242, 8408 Winterthur","Erdgeschoss-Wohnung in heimeligem Quartier","1 / 8 5.5 Zimmer, 135m², CHF 3’295.– Wartstrasse 242, 8408 WinterthurErdgeschoss-Wohnung in heimeligem Quartier In zentraler aber dennoch ruhiger Lage in Winterthur, vermieten wir diese schöne 5.5-Zimmer-Wohnung.Das erwartet Sie: • Wohn/Essbereich mit schönem Laminatboden und Cheminée • Schlafbereich mit Teppichboden • Küche mit Induktionsherd/Teppanyaki-Platte/Geschirrspüler, Backofen und Steamer • Einbauschränke in jedem Zimmer • Nasszellen mit WC/Dusche und WC/Badewanne • Eigener Sitzplatz und Gartenanteil • Gemeinschaftliche Waschküche im UG • Kellerabteil im UG Aktuell entsteht auf der Parzelle vor dem Mehrfamilienhaus ein Neubau.Mit Emissionen und kurzfristigen Einschränkungen ist tagsüber zu rechnen.Dies wurde bei der Festlegung des Mietzinses bereits berücksichtigt.Ein Doppel Abstellplatz Aussen kann für 120 CHF/mtl. dazu gemietet werden.  Wegzeit Neu24 min.Station: Winterthur Wülflingen"
"1758541828-14","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer, 102m², CHF 2’986.–","CHF 2’986.–","Dialogplatz 10, 8400 Winterthur","Moderne 3.5-Zimmerwohnung in der Lokstadt","1 / 7 3.5 Zimmer, 102m², CHF 2’986.– Dialogplatz 10, 8400 WinterthurModerne 3.5-Zimmerwohnung in der Lokstadt Wir vermieten per 1. Oktober 2025 diese tolle Wohnung im BIGBOY. Das Wohnhochhaus BIGBOY vereint alle Wünsche und bietet Ihnen mehr als nur schönes und gesundes Wohnen. Der BIGBOY überzeugt innen und aussen durch eine gekonnte Architektur und überragt das ganze Quartier. Der neue Stadtteil, das erste zertifizierte 2000-Watt-Areal in Winterthur, ist heute ein urbaner nachhaltiger Lebensraum mit zukunftsweisenden Visionen. Gebaut für Menschen, die das Stadtleben schätzen und sich der Zukunftsverantwortung bewusst sind. Die Wohnung liegt im 2. Obergeschoss und bietet folgende Highlights:- Gut möblierbare Grundrissaufteilung- Lichtdurchfluteter offener Wohn- und Essbereich- Offene Küche mit Küchengeräten der Firma Elektrolux- Zwei Moderne Badezimmer mit bodenebener Dusche und Badewanne inkl. Waschturm- Grosszügige Schlafzimmer mit viel Tageslicht-Gemütliche Loggia à 7.2 m2- Edler Parkettbelag in allen Wohn-, Ess- und Schlafbereichen Ein eigenes Kellerabteil im Untergeschoss gehört zur Wohnung. Bitte beachten Sie, dass die Bilder Ihnen den Ausbaustandard aufzeigen sollen. Wir machen Sie darauf aufmerksam, dass die Bilder vom Grundriss der Wohnung abweichen können. Haben wir Ihr Interesse geweckt und Sie möchten sich diese schöne Wohnung anschauen? Dann zögern Sie nicht und setzen sich mit uns in Verbindung. Wir freuen uns auf Ihre Anfrage via dem Kontaktformular der Plattform.  Wegzeit Neu13 min.Station: Winterthur"
"1758541828-15","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer, 77m², CHF 2’190.–","CHF 2’190.–","Tellstrasse 16a, 8400 Winterthur","Wohnen im Zentrum von Winterthur","1 / 8 3.5 Zimmer, 77m², CHF 2’190.– Tellstrasse 16a, 8400 WinterthurWohnen im Zentrum von Winterthur Per 1. Oktober 2025 vermieten wir diese schöne und zentrale 3.5-Zimmerwohnung in einer kleinen Hausgemeinschaft.Die Liegenschaft liegt in einer ruhigen Quartierstrasse nahe des Bahnhofs Winterthur (5 Minuten Fussweg).Trotz der nahen Lage zum Bahnhof Winterthur ist man in wenigen Schritten im Naherholungsgebiet und im Wald Brühlberg.Die Wohnung selbst zeichnet sich durch folgende Details aus:- zeitloser, weisser Plattenboden in der gesamten Wohnung- Dusche/WC- moderne, offene Küche- grosszügiger EingangsbereichDie Waschmaschine zum mitbenützen befindet sich im Untergeschoss.Leider stehen keine Parkplätze zur Verfügung. Es hat jedoch viele blaue Zonen Parkplätze in der Umgebung.Haben wir Ihr Interesse geweckt? Wir freuen uns auf Ihre Kontaktaufnahme bei Fragen.  Wegzeit Neu9 min.Station: Winterthur"
"1758541828-16","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","2.5 Zimmer, 66m², CHF 2’575.–","CHF 2’575.–","Wartstrasse 160, 8400 Winterthur","Qualitatives Wohnen für Paare oder Einzelpersonen","2.5 Zimmer, 66m², CHF 2’575.– Wartstrasse 160, 8400 WinterthurQualitatives Wohnen für Paare oder Einzelpersonen Diese moderne, helle und grosszügige Attikawohnung liegt in unmittelbarer Nähe des Stadtzentrums, der öffentlichen Verkehrsmittel und des Naherholungsgebiet.Ausbau: • Offene und moderne Küche mit Glaskeramikherd, Geschirrspüler und Backofen mit Steamerfunktion • Ganze Wohnung mit Eichenparkett ausgelegt, Nasszelle und Küche mit Plattenboden • Täferdecken • Nasszelle mit Badewanne und Waschmaschinenanschluss • Wandschrank im Korridor • Grosszügige Terrasse mit Plattenboden • Kellerabteil Zusätzlich auf Wunsch: Einstellplatz Tiefgarage CHF 150.-/Monat. Interessiert? Interessiert? Dann lohnt sich eine Besichtigung!  Wegzeit Neu19 min.Station: Winterthur"
"1758541828-17","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer, CHF 1’590.–","CHF 1’590.–","Wingertlistrasse 2, 8405 Winterthur","","1 / 13 3.5 Zimmer, CHF 1’590.– Plus Wingertlistrasse 2, 8405 Winterthur Wegzeit Neu10 min.Station: Winterthur Seen"
"1758541828-18","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","2 Zimmer, 52m², CHF 1’636.–","CHF 1’636.–","Roggenweg 14, 8405 Winterthur","","1 / 12 2 Zimmer, 52m², CHF 1’636.– Plus Roggenweg 14, 8405 Winterthur Wegzeit Neu12 min.Station: Winterthur Seen"
"1758541828-19","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","5.5 Zimmer, 110m², CHF 2’450.–","CHF 2’450.–","Schlossackerstrasse 23, 8404 Winterthur","","1 / 11 5.5 Zimmer, 110m², CHF 2’450.– Schlossackerstrasse 23, 8404 Winterthur Wegzeit Neu9 min.Station: Oberwinterthur"
"1758541828-20","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer, 141m², CHF 2’940.–","CHF 2’940.–","Heiligbergstrasse 50, 8400 Winterthur","","1 / 11 3.5 Zimmer, 141m², CHF 2’940.– Heiligbergstrasse 50, 8400 Winterthur Wegzeit Neu9 min.Station: Winterthur"
"1758541831-21","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","1.5 Zimmer, 36m², CHF 2’100.–","CHF 2’100.–","Zürcherstrasse 143, 8406 Winterthur","BUSINESS APARTMENT - Voll möbliert","1 / 10 1.5 Zimmer, 36m², CHF 2’100.– Zürcherstrasse 143, 8406 WinterthurBUSINESS APARTMENT - Voll möbliert An zentraler Lage in Winterthur vermieten wir eine hochwertig möblierte 1.5-Zimmer-Wohnung. Die Wohnung ist in einem modernen Mehrfamilienhaus in Winterthur. Grosszügige Fenster garantieren einen lichtdurchfluteten Raum mit angenehmer Wohnatmosphäre. Die Wohnung verfügt über eine Loggia, grosse Dusche mit Glastrennwand, eigene WM/TU, eine moderne Küche und einem praktischen Grundriss.Die Bushaltestelle befindet sich nur wenige Meter entfernt und bringt Sie bequem zum Hauptbahnhof Winterthur. In der nahen Umgebung befinden sich zahlreiche Restaurants, Einkaufsmöglichkeiten und Sportplätze. VARIAS Business Apartments ist ein Konzept, das sich perfekt für reisende Geschäftsleute anbietet. Flexible Aufenthalte, kurzfristige Einzugsmöglichkeiten, qualitativ hochwertige Design-Elemente, funktionsfähiges W-Lan und ein betriebsbereiter Drucker sind einige Annehmlichkeiten von VARIAS Business Apartments. Sie müssen kein Depot bezahlen und können sofort einziehen. Die Wohnung ist voll ausgestattet und bezugsbereit. • 1.5 Zimmer, 36qm • Mit dem Bus in 8 Minuten zum Hauptbahnhof Winterthur • Moderne und hochwertige Möblierung (USM Haller) • Vollausgestattete Küche mit Kühlschrank, Gefrierfach, Keramikherd • Nespresso Kaffeemaschine, Teekocher • Waschmaschine und Trockner im Apartment • Schlafzimmer/Wohnzimmer mit Bett • Einbauschränke • Badezimmmer mit Toilette und Dusche • HD 32"" LED Kabel-TV • Elektrisch bedienbare Rafflamellenstoren Bei Fragen kontaktieren Sie bitte Tarcisi Schorr Tel.: 052 208 10 08 I booking@variasapartments.chhttps://www.variasapartments.ch/en/apartments/  Wegzeit Neu5 min.Station: Winterthur Töss"
"1758541831-22","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","4.5 Zimmer, 121m², CHF 3’730.–","CHF 3’730.–","Schachenweg 55, 8400 Winterthur","","1 / 13 4.5 Zimmer, 121m², CHF 3’730.– Schachenweg 55, 8400 Winterthur Wegzeit Neu28 min.Station: Winterthur"
"1758541831-23","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","4.5 Zimmer, 120m², CHF 2’225.–","CHF 2’225.–","Arbergstrasse 5, 8405 Winterthur","","1 / 13 4.5 Zimmer, 120m², CHF 2’225.– Arbergstrasse 5, 8405 Winterthur Wegzeit Neu2 min.Station: Winterthur Seen"
"1758541831-24","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","3.5 Zimmer, 98m², CHF 2’450.–","CHF 2’450.–","Maienriedweg 16, 8408 Winterthur","komfortables ruhiges Wohnung auf der Sonnenseite von Wülflingen","1 / 8 3.5 Zimmer, 98m², CHF 2’450.– Maienriedweg 16, 8408 Winterthurkomfortables ruhiges Wohnung auf der Sonnenseite von Wülflingen Per 15. November 2025 haben wir eine schöne 3.5-Zimmerwohnung in Eigentumsstandart zu vermieten.Die helle Küche mit dunkler Granitabdeckung ist ausgestattet mit:Backofen, Steamer, Glaskeramik-Kochfeld, Geschirrspüler und einer Kühl-GefrierkombinationIn Wohnzimmer, Schlafzimmer und Korridor ist Parkett verlegt, dieser wird vor Einzug abgeschliffen und neu versiegelt. Ebenfalls wird die Wohnung neu gestrichen.Küche und Nasszellen sind mit dunklen keramischen Bodenplatten ausgestattet.Die Wohnung hat ein Badezimmer mit Badewanne/WC und ein Badezimmer mit Dusche/WC.Im Korridor befindet sich eine eingebaute Garderobe sowie Wandschränke.Zur Wohnung gehört ein separates Kellerabteil sowie eine separate Waschküche mit Waschmaschine, Secomat und Wäschehängesystem zur alleinigen Nutzung.Der grosse sonnige Sitzplatz lädt bei schönen Wetter zum verweilen ein.Die Wohnung ist vom UG aus mit dem Lift bequem erreichbar.1 Garagenplatz für Fr. 130.00/Monat kann dazu gemietet werden, ebenso ein Motorradabstellplatz für Fr. 30.00/Monat.Haben wir Ihr Interesse geweckt? Dann nehmen Sie bitte an einem der folgenden Besichtigungstermine teil (Klingeln bei ""Haas"":Freitag, 19.09.25 von 18.00 Uhr bis 19.00 UhrSamstag, 20.09.25 von 10.00-11.00 Uhr  Wegzeit Neu19 min.Station: Winterthur Wülflingen"
"1758541831-25","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","3.5 Zimmer, 95m², CHF 2’540.–","CHF 2’540.–","Schlosshofstrasse 15, 8400 Winterthur","Werk 3 - rundum attraktiv","1 / 6 3.5 Zimmer, 95m², CHF 2’540.– Schlosshofstrasse 15, 8400 WinterthurWerk 3 - rundum attraktiv Herzlich Willkommen im Werk 3. Das gut erschlossene Sulzer-Areal liegt im Brühlberg-Quartier, nahe dem Einkaufszentrum ""Lokwerk"". Das Stadtzentrum ist zu Fuss und per Buss schnell erreichbar, und die Nähe zur Autobahneinfahrt ""Töss"" bringt motorisierten Bewohnerneine zeitsparende Verkehrsanbindung nach Zürich und zum Flughafen. Das Werk 3 bietet viel Raum für individuelles Wohnen. Mit anderen Worten: Hier finden Sie die nötige Ruhe, für die Erfüllung urbaner und doch ungestörter Wohnträume.Die Wohnung ist mit allem ausgestattet, was von einer zeitgemässen Einrichtung erwartet werden darf. - Hochwertiger Ausbaustandard- Moderne, halboffene Küche mit schwarzer Natursteinabdeckung- Energieeffiziente Electrolux-Einbaugeräte- Eichenparkett im Wohn- und Schlafzimmer- Badezimmer mit keramischen Platten, Badewanne, Lavabo, Spiegelschrank- Kontrollierte Wohnraumlüftung- Eigene Waschmaschine / Tumbler- Loggia- Keller Bitte beachten Sie, dass die Fotoaufnahmen typenähnlich sind und lediglich dem Standard entsprechen. Haben wir Ihr Interesse geweckt und Sie möchten sich diese schöne Wohnung anschauen? Dann zögern Sie nicht und setzen sich mit uns in Verbindung. Wir freuen uns auf Ihre Anfrage via dem Kontaktformular der Plattform.  Wegzeit Neu13 min.Station: Winterthur Töss"
"1758541831-26","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","3.5 Zimmer, CHF 2’750.–","CHF 2’750.–","Hermannstrasse 22, 8400 Winterthur","Wohnen an privilegierter Lage im Herzen von Winterthur","1 / 13 3.5 Zimmer, CHF 2’750.– Hermannstrasse 22, 8400 WinterthurWohnen an privilegierter Lage im Herzen von Winterthur Wir vermieten im zentral gelegenen Stadtkreis Winterthur-Stadt in der «Villa im Park» eine gemütliche 3.5-Zimmer-Wohnung.Die Wohnung befindet sich im Hochparterre (per Lift zugänglich). Durch die Eingangstüre gelangt man in die Diele mit Garderobe und einem kleinen Abstellraum, geeignet als Stauraum. Ebenfalls vom Eingangsbereich erreichbar ist das separate WC und die Dusche.Durch den zentralen Korridor erreicht man die beiden Schlafzimmer sowie die Küche und das Bad.Die Küche überzeugt mit allen gängigen Küchengeräten. Das grosse Badezimmer wartet mit einem Doppellavabo, einer Badewanne und einem zweiten WC auf.Am Ende des Korridors befindet sich der Wohn- und Essbereich. Das Wohnzimmer hat ein grosses Fenster und bietet einen Blick ins Grüne. Vom Essbereich aus geniesst man ebenfalls den Blick auf die Terrasse und das Grün der Wohnanlage.Abgerundet wird das Mietobjekt durch einen kleinen Abstellraum in der Tiefgarage sowie eine eigene Waschküche mit Waschturm, beide in der Tiefgarage des Hauptgebäudes.Ein Autoabstellplatz ist im angrenzenden Garagengebäude inbegriffen.Der Bruttomietzins beträgt CHF 2'850.- für die Wohnung und für die Garage. Darin inkludiert ist ein Nebenkostenakonto von CHF 250.-/Monat.Das Quartier ist über diverse Trolleybuslinien mit dem Stadtzentrum verbunden. Das Mietobjekt liegt zehn Gehminuten von der Winterthurer Altstadt entfernt.Bei Interesse kontaktieren Sie uns bitte. Der HEV Winterthur freut sich auf Ihren Anruf unter der Tel. 052 212 67 70 oder Ihre E-Mail auf: vermietung (at) hev-winterthur.ch  Wegzeit Neu11 min.Station: Winterthur Grüze"
